R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R13228	pentaprenyl-diphosphate diphosphate-lyase [cyclizing, colleterpenol-forming]	C01230 + C00001	C22838 + C00013	C01230 + C00001 <=> C22838 + C00013	pentaprenyl-diphosphate diphosphate-lyase [cyclizing, colleterpenol-forming]; all-trans-Hexaprenyl diphosphate + H2O <=> Colleterpenol + Diphosphate	all-trans-Hexaprenyl diphosphate + H2O <=> Colleterpenol + Diphosphate
R13229	geranylgeranyl-diphosphate diphosphate-lyase [cyclizing, dolasta-1(15),8-diene-forming]	C00353	C22840 + C00013	C00353 <=> C22840 + C00013	geranylgeranyl-diphosphate diphosphate-lyase [cyclizing, dolasta-1(15),8-diene-forming]; Geranylgeranyl diphosphate <=> (5R,12R,14S)-Dolasta-1(15),8-diene + Diphosphate	Geranylgeranyl diphosphate <=> (5R,12R,14S)-Dolasta-1(15),8-diene + Diphosphate
R13230	geranylgeranyl-diphosphate diphosphate-lyase [cyclizing, delta-araneosene-forming]	C00353	C22839 + C00013	C00353 <=> C22839 + C00013	geranylgeranyl-diphosphate diphosphate-lyase [cyclizing, delta-araneosene-forming]; Geranylgeranyl diphosphate <=> delta-Araneosene + Diphosphate	Geranylgeranyl diphosphate <=> delta-Araneosene + Diphosphate
R13231	geranylfarnesyl-diphosphate diphosphate-lyase (cyclizing, somaliensene A-forming)	C04217	C22841 + C00013	C04217 <=> C22841 + C00013	geranylfarnesyl-diphosphate diphosphate-lyase (cyclizing, somaliensene A-forming); all-trans-Pentaprenyl diphosphate <=> Somaliensene A + Diphosphate	all-trans-Pentaprenyl diphosphate <=> Somaliensene A + Diphosphate
R13232	geranylfarnesyl-diphosphate diphosphate-lyase (cyclizing, (-)-somaliensene B-forming)	C04217	C22842 + C00013	C04217 <=> C22842 + C00013	geranylfarnesyl-diphosphate diphosphate-lyase (cyclizing, (-)-somaliensene B-forming); all-trans-Pentaprenyl diphosphate <=> (-)-Somaliensene B + Diphosphate	all-trans-Pentaprenyl diphosphate <=> (-)-Somaliensene B + Diphosphate
R13233	2-epi-5-epi-valiolone:NAD+ 2,3-oxidoreductase	C17691 + C00003	C22843 + C00004 + C00080	C17691 + C00003 <=> C22843 + C00004 + C00080	2-epi-5-epi-valiolone:NAD+ 2,3-oxidoreductase; 2-epi-5-epi-Valiolone + NAD+ <=> Demethylgadusol + NADH + H+	2-epi-5-epi-Valiolone + NAD+ <=> Demethylgadusol + NADH + H+
R13234	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, variediene-forming)	C00353	C22844 + C00013	C00353 <=> C22844 + C00013	geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, variediene-forming); Geranylgeranyl diphosphate <=> Variediene + Diphosphate	Geranylgeranyl diphosphate <=> Variediene + Diphosphate
R13235	geranylfarneyl-diphosphate diphosphate-lyase (cyclizing, (2E)-alpha-cericerene-forming)	C04217	C22845 + C00013	C04217 <=> C22845 + C00013	geranylfarneyl-diphosphate diphosphate-lyase (cyclizing, (2E)-alpha-cericerene-forming); all-trans-Pentaprenyl diphosphate <=> (2E)-alpha-Cericerene + Diphosphate	all-trans-Pentaprenyl diphosphate <=> (2E)-alpha-Cericerene + Diphosphate
R13236	S-adenosyl-L-methionine:demethylgadusol 2-O-methyltransferase	C00019 + C22843	C00021 + C22846	C00019 + C22843 <=> C00021 + C22846	S-adenosyl-L-methionine:demethylgadusol 2-O-methyltransferase; S-Adenosyl-L-methionine + Demethylgadusol <=> S-Adenosyl-L-homocysteine + Gadusol	S-Adenosyl-L-methionine + Demethylgadusol <=> S-Adenosyl-L-homocysteine + Gadusol
R13237	acetyl-[acp]:3-oxoacyl-[acp] C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	C03939 + C00685	C22847 + C00229	C03939 + C00685 <=> C22847 + C00229	acetyl-[acp]:3-oxoacyl-[acp] C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); Acetyl-[acyl-carrier protein] + 3-Oxoacyl-[acyl-carrier protein] <=> 3-Carboxymethyl-3-hydroxy-acyl-[acp] + Acyl-carrier protein	Acetyl-[acyl-carrier protein] + 3-Oxoacyl-[acyl-carrier protein] <=> 3-Carboxymethyl-3-hydroxy-acyl-[acp] + Acyl-carrier protein
R13238	carbendazim methanol hydrolase (decarboxylating)	C10897 + C00001	C10901 + C00011 + C00132	C10897 + C00001 <=> C10901 + C00011 + C00132	carbendazim methanol hydrolase (decarboxylating); Carbendazim + H2O <=> 2-Aminobenzimidazole + CO2 + Methanol	Carbendazim + H2O <=> 2-Aminobenzimidazole + CO2 + Methanol
R13241	3-aminoavenalumate:nitrite ligase (AMP-forming)	C00002 + C22849 + C00088	C00020 + C00013 + C22850 + C00001	C00002 + C22849 + C00088 <=> C00020 + C00013 + C22850 + C00001	3-aminoavenalumate:nitrite ligase (AMP-forming); ATP + 3-Aminoavenalumate + Nitrite <=> AMP + Diphosphate + 3-Diazoavenalumate + H2O	ATP + 3-Aminoavenalumate + Nitrite <=> AMP + Diphosphate + 3-Diazoavenalumate + H2O
R13242	3-carboxymethyl-3-hydroxy-acyl-[acyl-carrier protein] hydro-lyase	C22847	C22835 + C00001	C22847 <=> C22835 + C00001	3-carboxymethyl-3-hydroxy-acyl-[acyl-carrier protein] hydro-lyase; 3-Carboxymethyl-3-hydroxy-acyl-[acp] <=> 4-Carboxy-3-alkylbut-2-enoyl-[acyl-carrier protein] + H2O	3-Carboxymethyl-3-hydroxy-acyl-[acp] <=> 4-Carboxy-3-alkylbut-2-enoyl-[acyl-carrier protein] + H2O
R13243	myo-inositol-pentakisphosphate phosphohydrolase	C04563 + C00001	C22851 + C00009	C04563 + C00001 <=> C22851 + C00009	myo-inositol-pentakisphosphate phosphohydrolase; D-myo-Inositol 1,2,4,5,6-pentakisphosphate + H2O <=> 1D-myo-Inositol 1,2,5,6-tetrakisphosphate + Orthophosphate	D-myo-Inositol 1,2,4,5,6-pentakisphosphate + H2O <=> 1D-myo-Inositol 1,2,5,6-tetrakisphosphate + Orthophosphate
R13244	myo-inositol-tetrakisphosphate phosphohydrolase	C22851 + C00001	C22852 + C00009	C22851 + C00001 <=> C22852 + C00009	myo-inositol-tetrakisphosphate phosphohydrolase; 1D-myo-Inositol 1,2,5,6-tetrakisphosphate + H2O <=> 1D-myo-Inositol 1,2,6-trisphosphate + Orthophosphate	1D-myo-Inositol 1,2,5,6-tetrakisphosphate + H2O <=> 1D-myo-Inositol 1,2,6-trisphosphate + Orthophosphate
R13245	myo-inositol-trisphosphate phosphohydrolase	C22852 + C00001	C22853 + C00009	C22852 + C00001 <=> C22853 + C00009	myo-inositol-trisphosphate phosphohydrolase; 1D-myo-Inositol 1,2,6-trisphosphate + H2O <=> 1D-myo-Inositol 1,2-bisphosphate + Orthophosphate	1D-myo-Inositol 1,2,6-trisphosphate + H2O <=> 1D-myo-Inositol 1,2-bisphosphate + Orthophosphate
R13246	myo-inositol-bisphosphate phosphohydrolase	C22853 + C00001	C22854 + C00009	C22853 + C00001 <=> C22854 + C00009	myo-inositol-bisphosphate phosphohydrolase; 1D-myo-Inositol 1,2-bisphosphate + H2O <=> 1D-myo-Inositol 2-phosphate + Orthophosphate	1D-myo-Inositol 1,2-bisphosphate + H2O <=> 1D-myo-Inositol 2-phosphate + Orthophosphate
R13247	quinol:oxygen oxidoreductase (H+-transporting)	C15603 + C00007 + C00080	C15602 + C00001 + C00080	2 C15603 + C00007 + 8 C00080 <=> 2 C15602 + 2 C00001 + 8 C00080	quinol:oxygen oxidoreductase (H+-transporting); 2 Hydroquinone + Oxygen + 8 H+ <=> 2 Quinone + 2 H2O + 8 H+	2 Hydroquinone + Oxygen + 8 H+ <=> 2 Quinone + 2 H2O + 8 H+
R13248	peptidoglycan N-acetylmuramate---N-acetyl-beta-D-glucosamine lyase	G13347	G13345 + G13346	G13347 <=> G13345 + G13346	peptidoglycan N-acetylmuramate---N-acetyl-beta-D-glucosamine lyase; G13347 <=> G13345 + G13346	G13347 <=> G13345 + G13346
R13250	Fe(II):oxygen oxidoreductase ([FeO(OH)]core-producing)	C14818 + C00007 + C00001	C22881 + C00080	4 C14818 + C00007 + 6 C00001 <=> 4 C22881 + 8 C00080	Fe(II):oxygen oxidoreductase ([FeO(OH)]core-producing); 4 Fe2+ + Oxygen + 6 H2O <=> 4 Iron(III) oxide-hydroxide + 8 H+	4 Fe2+ + Oxygen + 6 H2O <=> 4 Iron(III) oxide-hydroxide + 8 H+
R13253	deacetylipecoside glucohydrolase	C07307 + C00001	C22882 + C00031	C07307 + C00001 <=> C22882 + C00031	deacetylipecoside glucohydrolase; Deacetylipecoside + H2O <=> N-Deacetylipecoside aglycone + D-Glucose	Deacetylipecoside + H2O <=> N-Deacetylipecoside aglycone + D-Glucose
R13254	6-O-methyl-N-deacetylipecoside glucohydrolase	C22883 + C00001	C22884 + C00031	C22883 + C00001 <=> C22884 + C00031	6-O-methyl-N-deacetylipecoside glucohydrolase; 6-O-Methyl-N-deacetylipecoside + H2O <=> 6-O-Methyl-N-deacetylipecoside aglycone + D-Glucose	6-O-Methyl-N-deacetylipecoside + H2O <=> 6-O-Methyl-N-deacetylipecoside aglycone + D-Glucose
R13255	acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, NADH, very-long-chain acyl-CoA forming)	C00024 + C00083 + C00005 + C00004 + C00080	C20876 + C00010 + C00011 + C00006 + C00003 + C00001	C00024 + n C00083 + n C00005 + n C00004 + 2n C00080 <=> C20876 + n C00010 + n C00011 + n C00006 + n C00003 + n C00001	acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing, NADH, very-long-chain acyl-CoA forming); Acetyl-CoA + n Malonyl-CoA + n NADPH + n NADH + 2n H+ <=> Very-long-chain acyl-CoA + n CoA + n CO2 + n NADP+ + n NAD+ + n H2O	Acetyl-CoA + n Malonyl-CoA + n NADPH + n NADH + 2n H+ <=> Very-long-chain acyl-CoA + n CoA + n CO2 + n NADP+ + n NAD+ + n H2O
R13256	very-long-chain acyl-CoA:carbon-dioxide ligase (ADP-forming)	C00002 + C20876 + C00288	C00008 + C00009 + C22857	C00002 + C20876 + C00288 <=> C00008 + C00009 + C22857	very-long-chain acyl-CoA:carbon-dioxide ligase (ADP-forming); ATP + Very-long-chain acyl-CoA + HCO3- <=> ADP + Orthophosphate + Very-long-chain alpha-carboxyacyl-CoA	ATP + Very-long-chain acyl-CoA + HCO3- <=> ADP + Orthophosphate + Very-long-chain alpha-carboxyacyl-CoA
R13257	long-chain-acyl-CoA:malonyl-[acyl-carrier protein] C-acyltransferase	C02843 + C01209	C22858 + C00010 + C00011	C02843 + C01209 <=> C22858 + C00010 + C00011	long-chain-acyl-CoA:malonyl-[acyl-carrier protein] C-acyltransferase; Long-chain acyl-CoA + Malonyl-[acyl-carrier protein] <=> Long-chain 3-oxoacyl-[acyl-carrier protein] + CoA + CO2	Long-chain acyl-CoA + Malonyl-[acyl-carrier protein] <=> Long-chain 3-oxoacyl-[acyl-carrier protein] + CoA + CO2
R13258	long-chain-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)	C20683 + C01209	C22858 + C00011 + C00229	C20683 + C01209 <=> C22858 + C00011 + C00229	long-chain-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating); Long-chain acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Long-chain 3-oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein	Long-chain acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Long-chain 3-oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein
R13259	long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase	C22859 + C00006	C22858 + C00005 + C00080	C22859 + C00006 <=> C22858 + C00005 + C00080	long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase; Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Long-chain 3-oxoacyl-[acyl-carrier protein] + NADPH + H+	Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Long-chain 3-oxoacyl-[acyl-carrier protein] + NADPH + H+
R13260	long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (long-chain trans-2-enoyl-[acyl-carrier protein]-forming)	C22859	C22860 + C00001	C22859 <=> C22860 + C00001	long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (long-chain trans-2-enoyl-[acyl-carrier protein]-forming); Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Long-chain trans-2-enoyl-[acyl-carrier protein] + H2O	Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Long-chain trans-2-enoyl-[acyl-carrier protein] + H2O
R13261	long-chain-acyl-[acyl-carrier protein]:NAD+ oxidoreductase	C20683 + C00003	C22860 + C00004 + C00080	C20683 + C00003 <=> C22860 + C00004 + C00080	long-chain-acyl-[acyl-carrier protein]:NAD+ oxidoreductase; Long-chain acyl-[acyl-carrier protein] + NAD+ <=> Long-chain trans-2-enoyl-[acyl-carrier protein] + NADH + H+	Long-chain acyl-[acyl-carrier protein] + NAD+ <=> Long-chain trans-2-enoyl-[acyl-carrier protein] + NADH + H+
R13262	very-long-chain-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)	C22861 + C01209	C22862 + C00011 + C00229	C22861 + C01209 <=> C22862 + C00011 + C00229	very-long-chain-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating); Very-long-chain acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Very-long-chain 3-oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein	Very-long-chain acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Very-long-chain 3-oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein
R13263	very-long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase	C22863 + C00006	C22862 + C00005 + C00080	C22863 + C00006 <=> C22862 + C00005 + C00080	very-long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase; Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Very-long-chain 3-oxoacyl-[acyl-carrier protein] + NADPH + H+	Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Very-long-chain 3-oxoacyl-[acyl-carrier protein] + NADPH + H+
R13264	very-long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (very-long-chain trans-2-enoyl-[acyl-carrier protein]-forming)	C22863	C22864 + C00001	C22863 <=> C22864 + C00001	very-long-chain-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (very-long-chain trans-2-enoyl-[acyl-carrier protein]-forming); Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Very-long-chain trans-2-enoyl-[acyl-carrier protein] + H2O	Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Very-long-chain trans-2-enoyl-[acyl-carrier protein] + H2O
R13265	very-long-chain-acyl-[acyl-carrier protein]:NAD+ oxidoreductase	C22861 + C00003	C22864 + C00004 + C00080	C22861 + C00003 <=> C22864 + C00004 + C00080	very-long-chain-acyl-[acyl-carrier protein]:NAD+ oxidoreductase; Very-long-chain acyl-[acyl-carrier protein] + NAD+ <=> Very-long-chain trans-2-enoyl-[acyl-carrier protein] + NADH + H+	Very-long-chain acyl-[acyl-carrier protein] + NAD+ <=> Very-long-chain trans-2-enoyl-[acyl-carrier protein] + NADH + H+
R13266	ultra-long-chain-mono-unsaturated-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)	C22865 + C01209	C22866 + C00011 + C00229	C22865 + C01209 <=> C22866 + C00011 + C00229	ultra-long-chain-mono-unsaturated-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating); Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein	Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein
R13267	ultra-long-chain-mono-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase	C22867 + C00006	C22866 + C00005 + C00080	C22867 + C00006 <=> C22866 + C00005 + C00080	ultra-long-chain-mono-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase; Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + NADPH + H+	Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + NADPH + H+
R13268	ultra-long-chain-mono-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein]-forming)	C22867	C22868 + C00001	C22867 <=> C22868 + C00001	ultra-long-chain-mono-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein]-forming); Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein] + H2O	Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein] + H2O
R13269	ultra-long-chain-mono-unsaturated-acyl-[acyl-carrier protein]:NAD+ oxidoreductase	C22865 + C00003	C22868 + C00004 + C00080	C22865 + C00003 <=> C22868 + C00004 + C00080	ultra-long-chain-mono-unsaturated-acyl-[acyl-carrier protein]:NAD+ oxidoreductase; Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein] + NAD+ <=> Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein] + NADH + H+	Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein] + NAD+ <=> Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein] + NADH + H+
R13270	ultra-long-chain-di-unsaturated-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)	C22869 + C01209	C22870 + C00011 + C00229	C22869 + C01209 <=> C22870 + C00011 + C00229	ultra-long-chain-di-unsaturated-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating); Ultra-long-chain di-unsaturated acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Ultra-long-chain di-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein	Ultra-long-chain di-unsaturated acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Ultra-long-chain di-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein
R13271	ultra-long-chain-di-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase	C22871 + C00006	C22870 + C00005 + C00080	C22871 + C00006 <=> C22870 + C00005 + C00080	ultra-long-chain-di-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase; Ultra-long-chain di-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Ultra-long-chain di-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + NADPH + H+	Ultra-long-chain di-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+ <=> Ultra-long-chain di-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein] + NADPH + H+
R13272	ultra-long-chain-di-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein]-forming)	C22871	C22872 + C00001	C22871 <=> C22872 + C00001	ultra-long-chain-di-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein]-forming); Ultra-long-chain di-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein] + H2O	Ultra-long-chain di-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein] + H2O
R13273	ultra-long-chain-di-unsaturated-acyl-[acyl-carrier protein]:NAD+ oxidoreductase	C22869 + C00003	C22872 + C00004 + C00080	C22869 + C00003 <=> C22872 + C00004 + C00080	ultra-long-chain-di-unsaturated-acyl-[acyl-carrier protein]:NAD+ oxidoreductase; Ultra-long-chain di-unsaturated acyl-[acyl-carrier protein] + NAD+ <=> Ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein] + NADH + H+	Ultra-long-chain di-unsaturated acyl-[acyl-carrier protein] + NAD+ <=> Ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein] + NADH + H+
R13274	meromycolic-acid:holo-[acp Pks13] ligase	C00002 + C22873 + C00229	C00020 + C00013 + C22874	C00002 + C22873 + C00229 <=> C00020 + C00013 + C22874	meromycolic-acid:holo-[acp Pks13] ligase; ATP + Meromycolic acid + Acyl-carrier protein <=> AMP + Diphosphate + Meromycoloyl-[acp Pks13]	ATP + Meromycolic acid + Acyl-carrier protein <=> AMP + Diphosphate + Meromycoloyl-[acp Pks13]
R13277	trehalose monomycolate:trehalose monomycolate 6'-mycolyltransferase	C22876	C01083 + C22877	2 C22876 <=> C01083 + C22877	trehalose monomycolate:trehalose monomycolate 6'-mycolyltransferase; 2 Trehalose monomycolate <=> alpha,alpha-Trehalose + Trehalose dimycolate	2 Trehalose monomycolate <=> alpha,alpha-Trehalose + Trehalose dimycolate
R13278	trehalose monomycolate:AGP 5-mycolyltransferase	C22876 + C17481	C01083 + C22879	C22876 + C17481 <=> C01083 + C22879	trehalose monomycolate:AGP 5-mycolyltransferase; Trehalose monomycolate + AGP <=> alpha,alpha-Trehalose + mAGP	Trehalose monomycolate + AGP <=> alpha,alpha-Trehalose + mAGP
R13280	trehalose monomycolate:D-glucose 6-mycolyltransferase	C22876 + C00031	C01083 + C22855	C22876 + C00031 <=> C01083 + C22855	trehalose monomycolate:D-glucose 6-mycolyltransferase; Trehalose monomycolate + D-Glucose <=> alpha,alpha-Trehalose + Glucose monomycolate	Trehalose monomycolate + D-Glucose <=> alpha,alpha-Trehalose + Glucose monomycolate
R13283	cis-4-hydroxycyclohexane-1-carboxylate:NAD+ 4-oxidoreductase	C22885 + C00003	C03767 + C00004 + C00080	C22885 + C00003 <=> C03767 + C00004 + C00080	cis-4-hydroxycyclohexane-1-carboxylate:NAD+ 4-oxidoreductase; cis-4-Hydroxycyclohexane-1-carboxylate + NAD+ <=> 4-Oxocyclohexanecarboxylate + NADH + H+	cis-4-Hydroxycyclohexane-1-carboxylate + NAD+ <=> 4-Oxocyclohexanecarboxylate + NADH + H+
R13284	N1-[(S)-3-amino-3-carboxypropyl]agmatine carboxy-lyase	C22886	C20560 + C00011	C22886 <=> C20560 + C00011	N1-[(S)-3-amino-3-carboxypropyl]agmatine carboxy-lyase; N1-[(S)-3-amino-3-carboxypropyl]agmatine <=> N1-(3-Aminopropyl)agmatine + CO2	N1-[(S)-3-amino-3-carboxypropyl]agmatine <=> N1-(3-Aminopropyl)agmatine + CO2
R13285	4-oxocyclohexane-1-carboxylate:oxygen oxidoreductase (4-oxocyclohex-2-ene-1-carboxylate-forming)	C03767 + C00007	C22887 + C00027	C03767 + C00007 <=> C22887 + C00027	4-oxocyclohexane-1-carboxylate:oxygen oxidoreductase (4-oxocyclohex-2-ene-1-carboxylate-forming); 4-Oxocyclohexanecarboxylate + Oxygen <=> 4-Oxocyclohex-2-ene-1-carboxylate + Hydrogen peroxide	4-Oxocyclohexanecarboxylate + Oxygen <=> 4-Oxocyclohex-2-ene-1-carboxylate + Hydrogen peroxide
R13286	putrescine,NADPH:oxygen oxidoreductase (N-hydroxylating)	C00134 + C00005 + C00080 + C00007	C22888 + C00006 + C00001	C00134 + C00005 + C00080 + C00007 <=> C22888 + C00006 + C00001	putrescine,NADPH:oxygen oxidoreductase (N-hydroxylating); Putrescine + NADPH + H+ + Oxygen <=> N-Hydroxyputrescine + NADP+ + H2O	Putrescine + NADPH + H+ + Oxygen <=> N-Hydroxyputrescine + NADP+ + H2O
R13289	4-coumarate acetate-lyase (4-hydroxybenzaldehyde-forming)	C00811 + C00001	C00633 + C00033	C00811 + C00001 <=> C00633 + C00033	4-coumarate acetate-lyase (4-hydroxybenzaldehyde-forming); 4-Coumarate + H2O <=> 4-Hydroxybenzaldehyde + Acetate	4-Coumarate + H2O <=> 4-Hydroxybenzaldehyde + Acetate
R13290	5,20-epoxytax-11-en-4alpha-ol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (9alpha-hydroxylating)	C22889 + C03024 + C00007	C22891 + C03161 + C00001	C22889 + C03024 + C00007 <=> C22891 + C03161 + C00001	5,20-epoxytax-11-en-4alpha-ol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (9alpha-hydroxylating); 5,20-Epoxytax-11-en-4alpha-ol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 5,20-Epoxytax-11-ene-4alpha,9alpha-diol + [Oxidized NADPH---hemoprotein reductase] + H2O	5,20-Epoxytax-11-en-4alpha-ol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 5,20-Epoxytax-11-ene-4alpha,9alpha-diol + [Oxidized NADPH---hemoprotein reductase] + H2O
R13291	N1-[(S)-2-aminobutanoate]agmatine:NADP+ oxidoreductase (agmatine-forming)	C22886 + C00006 + C00001	C00179 + C00441 + C00005 + C00080	C22886 + C00006 + C00001 <=> C00179 + C00441 + C00005 + C00080	N1-[(S)-2-aminobutanoate]agmatine:NADP+ oxidoreductase (agmatine-forming); N1-[(S)-3-amino-3-carboxypropyl]agmatine + NADP+ + H2O <=> Agmatine + L-Aspartate 4-semialdehyde + NADPH + H+	N1-[(S)-3-amino-3-carboxypropyl]agmatine + NADP+ + H2O <=> Agmatine + L-Aspartate 4-semialdehyde + NADPH + H+
R13292	pentaprenyl-diphosphate diphosphate-lyase [cyclizing, talaropentaene-forming]	C01230	C22894 + C00013	C01230 <=> C22894 + C00013	pentaprenyl-diphosphate diphosphate-lyase [cyclizing, talaropentaene-forming]; all-trans-Hexaprenyl diphosphate <=> Talaropentaene + Diphosphate	all-trans-Hexaprenyl diphosphate <=> Talaropentaene + Diphosphate
